LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,LOC_TOTAL,bug
26,7,0,6,4,2,3,38.77,13.2,6756.06,0.17,99,0.08,375.34,33,66,20,26,0
34,11,0,8,6,3,1,59.16,12.6,9398.15,0.25,135,0.08,522.12,43,92,29,34,0
31,13,2,30,7,5,1,26.31,23.5,14529.3,0.21,126,0.04,807.18,47,79,15,33,0
15,3,0,0,2,1,1,37.54,7.6,2168.23,0.1,60,0.13,120.46,19,41,15,15,0
15,7,6,12,4,4,4,18.1,16.36,4845.73,0.1,63,0.06,269.21,24,39,11,21,0
130,57,45,13,29,27,7,91.32,55.88,285170.84,1.7,729,0.02,15842.82,309,420,94,175,0
30,7,3,3,4,4,1,30.45,20.71,13065.14,0.21,122,0.05,725.84,58,64,21,33,0
34,11,4,0,6,6,1,64.31,12.0,9260.02,0.26,146,0.08,514.45,54,92,27,38,0
59,15,27,28,9,6,1,47.3,45.77,99082.56,0.72,336,0.02,5504.59,136,200,52,86,0
16,7,11,30,4,1,1,18.87,19.62,7260.95,0.12,77,0.05,403.39,34,43,13,27,0
65,23,5,95,12,1,1,79.18,42.02,139798.54,1.11,541,0.02,7766.59,230,311,52,70,0
20,5,0,3,3,3,1,38.85,12.28,5856.79,0.16,93,0.08,325.38,26,67,18,20,0
50,29,19,53,15,1,9,50.79,25.26,32401.84,0.43,219,0.04,1800.1,89,130,37,69,0
12,5,0,0,3,1,1,21.83,10.42,2369.07,0.08,51,0.1,131.62,25,26,12,12,0
93,33,13,55,17,6,7,56.02,48.06,129374.54,0.9,407,0.02,7187.47,173,234,63,106,0
69,37,0,18,19,13,19,73.61,37.75,104901.75,0.93,422,0.03,5827.87,151,271,64,69,0
16,5,1,0,3,1,3,13.72,10.56,1531.0,0.05,33,0.09,85.06,13,20,8,17,0
20,5,0,0,3,1,1,10.03,14.67,2158.18,0.05,36,0.07,119.9,16,20,6,20,0
154,28,20,119,17,13,10,133.35,38.57,198396.43,1.71,695,0.03,11022.02,285,410,133,174,0
72,31,1,19,16,7,9,86.16,18.26,28729.02,0.52,255,0.05,1596.06,83,172,50,73,0
125,31,13,50,18,13,1,77.8,40.25,126046.47,1.04,438,0.02,7002.58,168,270,96,138,0
29,9,0,17,5,2,1,27.4,20.78,11829.84,0.19,111,0.05,657.21,44,67,18,29,0
18,5,1,11,3,1,1,35.6,12.89,5919.2,0.15,91,0.08,328.84,35,56,19,19,0
55,21,0,8,11,8,5,48.89,26.83,35190.17,0.44,217,0.04,1955.01,88,129,41,55,0
47,5,0,39,3,1,1,59.87,15.65,14671.27,0.31,150,0.06,815.07,82,68,55,47,0
32,11,2,14,6,2,4,21.82,22.85,11393.4,0.17,95,0.04,632.97,37,58,17,34,0
21,5,0,2,3,3,1,34.56,8.63,2570.73,0.1,62,0.12,142.82,23,39,16,21,0
14,3,0,1,2,1,1,12.74,7.86,786.33,0.03,24,0.13,43.68,10,14,7,14,0
21,5,0,6,3,3,1,40.4,11.25,5113.63,0.15,86,0.09,284.09,36,50,24,21,0
18,3,0,9,2,2,1,32.0,11.63,4329.68,0.12,72,0.09,240.54,26,46,19,18,0
36,6,2,13,4,4,1,48.31,17.63,15014.65,0.28,156,0.06,834.15,56,100,27,38,0
160,58,12,33,32,20,7,151.5,22.73,78244.98,1.15,488,0.04,4346.94,163,325,104,172,0
13,3,0,0,2,1,1,21.15,3.5,259.02,0.02,20,0.29,14.39,6,14,6,13,0
128,49,33,58,25,9,12,104.25,54.33,307757.08,1.89,790,0.02,17097.62,326,464,108,161,0
20,9,0,0,5,1,1,13.75,21.0,6065.91,0.1,63,0.05,336.99,21,42,8,20,0
27,11,2,20,6,2,1,38.41,13.45,6946.75,0.17,92,0.07,385.93,39,53,29,29,0
47,19,6,7,10,7,9,105.02,18.86,37359.42,0.66,318,0.05,2075.52,97,221,54,53,0
16,5,2,18,3,2,1,45.77,7.71,2723.97,0.12,70,0.13,151.33,27,43,21,18,0
41,7,0,21,4,4,1,61.36,23.68,34405.27,0.48,247,0.04,1911.4,117,130,42,41,0
14,3,3,0,2,1,1,16.29,9.29,1404.34,0.05,37,0.11,78.02,13,24,7,17,0
14,3,3,0,2,1,1,16.29,9.29,1404.34,0.05,37,0.11,78.02,13,24,7,17,0
27,5,0,39,3,1,1,61.85,12.04,8964.95,0.25,130,0.08,498.05,61,69,38,27,0
21,3,6,6,2,2,1,22.83,23.0,12075.0,0.18,105,0.04,670.83,46,59,16,27,0
16,5,0,5,3,2,3,24.32,7.64,1418.49,0.06,40,0.13,78.8,12,28,11,16,0
55,17,12,20,9,3,1,52.18,33.32,57931.89,0.58,292,0.03,3218.44,113,179,39,67,0
22,9,10,22,5,2,1,27.26,22.11,13319.21,0.2,114,0.05,739.96,42,72,19,32,0
138,47,1,58,25,24,1,171.89,27.21,127275.78,1.56,625,0.04,7070.88,250,375,147,139,0
23,7,1,23,4,4,1,34.26,11.57,4586.97,0.13,75,0.09,254.83,27,48,21,24,0
60,19,4,15,13,6,1,66.12,13.9,12780.02,0.31,155,0.07,710.0,57,98,41,64,0
32,9,1,0,5,3,1,27.2,13.24,4764.71,0.12,72,0.08,264.71,30,42,17,33,0
28,5,0,11,3,3,1,47.22,11.69,6449.49,0.18,103,0.09,358.3,33,70,24,28,0
19,3,0,3,2,2,1,33.23,9.41,2943.55,0.1,62,0.11,163.53,20,42,17,19,0
19,3,0,3,2,2,1,31.71,8.91,2515.03,0.09,57,0.11,139.72,19,38,16,19,0
38,7,3,35,4,1,3,60.5,14.75,13163.37,0.3,153,0.07,731.3,59,94,38,41,0
41,3,0,7,2,2,1,93.81,15.69,23101.5,0.49,241,0.06,1283.42,96,145,52,41,0
30,3,0,6,2,2,1,58.05,14.68,12512.17,0.28,151,0.07,695.12,57,94,33,30,0
149,29,2,65,15,6,11,118.83,46.92,261640.64,1.86,781,0.02,14535.59,333,448,110,151,0
19,3,0,6,2,2,1,31.58,9.5,2850.0,0.1,60,0.11,158.33,19,41,16,19,0
42,3,0,6,2,2,1,94.81,13.88,18268.21,0.44,210,0.07,1014.9,91,119,59,42,0
14,3,6,13,2,1,1,28.66,11.47,3771.09,0.11,67,0.09,209.5,30,37,17,20,0
22,3,0,12,2,2,1,36.77,11.48,4842.06,0.14,81,0.09,269.0,27,54,20,22,0
27,5,0,9,3,1,1,54.96,8.31,3793.04,0.15,87,0.12,210.72,36,51,26,27,0
31,9,1,4,5,1,1,14.28,19.94,5674.43,0.09,67,0.05,315.25,29,38,8,32,0
127,19,7,39,10,8,8,124.12,29.01,104460.67,1.2,526,0.03,5803.37,220,306,91,134,0
45,7,1,5,4,4,1,99.18,16.49,26973.57,0.55,261,0.06,1498.53,94,167,57,46,0
92,29,27,41,15,15,15,46.37,57.0,150670.96,0.88,466,0.02,8370.61,192,274,32,119,0
18,7,7,11,4,1,4,24.0,15.38,5680.1,0.12,76,0.07,315.56,25,51,13,25,0
36,11,9,22,6,6,1,46.84,21.46,21576.47,0.34,182,0.05,1198.69,61,121,27,45,0
22,5,4,0,3,3,1,24.31,14.06,4807.12,0.11,69,0.07,267.06,30,39,16,26,0
30,7,10,22,4,2,1,45.35,25.34,29117.23,0.38,193,0.04,1617.62,75,118,37,40,0
16,7,6,10,4,2,1,22.84,25.89,15315.78,0.2,109,0.04,850.88,41,68,19,22,0
15,7,7,10,4,2,1,22.84,25.89,15315.78,0.2,109,0.04,850.88,41,68,19,22,0
40,19,35,31,10,8,1,83.37,31.3,81653.73,0.87,399,0.03,4536.32,153,246,66,75,0
44,11,18,28,6,4,1,71.49,34.84,86774.3,0.83,380,0.03,4820.79,135,245,62,62,0
31,9,5,0,5,5,1,44.36,16.56,12163.87,0.24,141,0.06,675.77,69,72,25,36,0
22,11,11,21,6,3,1,25.24,19.95,10047.02,0.17,94,0.05,558.17,38,56,20,33,0
20,7,2,13,4,4,1,46.13,14.44,9617.77,0.22,122,0.07,534.32,38,84,25,22,0
25,3,2,4,2,2,1,48.82,16.55,13373.72,0.27,148,0.06,742.98,64,84,29,27,0
10,3,5,4,2,1,1,21.05,9.8,2021.97,0.07,45,0.1,112.33,14,31,10,15,0
10,3,5,4,2,1,1,21.05,9.8,2021.97,0.07,45,0.1,112.33,14,31,10,15,0
14,5,4,8,3,2,1,30.91,8.62,2294.05,0.09,56,0.12,127.45,16,40,13,18,0
27,11,4,16,6,5,3,53.81,14.9,11951.03,0.27,140,0.07,663.95,42,98,31,31,0
20,7,3,12,4,4,1,47.35,11.12,5850.56,0.18,97,0.09,325.03,34,63,26,23,0
28,13,4,18,7,5,5,55.58,14.56,11789.43,0.27,142,0.07,654.97,43,99,31,32,0
45,23,21,29,12,8,5,68.78,26.32,47644.35,0.6,288,0.04,2646.91,94,194,50,66,0
11,3,2,2,2,1,1,10.9,12.0,1569.59,0.04,32,0.08,87.2,10,22,5,13,0
11,3,2,2,2,1,1,17.29,12.0,2489.43,0.07,48,0.08,138.3,16,32,8,13,0
27,15,14,22,8,6,4,35.27,13.74,6655.21,0.16,93,0.07,369.73,29,64,19,41,0
10,3,4,12,2,2,1,15.6,6.67,693.33,0.03,26,0.15,38.52,8,18,6,14,0
9,3,3,3,2,1,1,13.38,8.25,910.48,0.04,27,0.12,50.58,9,18,6,12,0
9,3,3,3,2,1,1,20.27,9.17,1703.56,0.06,43,0.11,94.64,15,28,9,12,0
98,19,6,57,10,7,10,125.84,27.25,93428.15,1.14,486,0.04,5190.45,172,314,101,104,0
172,49,20,56,25,24,15,243.12,22.99,128457.87,1.86,750,0.04,7136.55,252,498,148,192,0
43,7,1,29,4,4,1,84.37,19.2,31093.83,0.54,267,0.05,1727.43,97,170,48,44,0
36,3,11,31,2,2,1,37.89,24.18,22153.96,0.31,171,0.04,1230.78,56,115,22,47,0
21,7,11,5,4,3,1,49.79,9.48,4476.07,0.16,87,0.11,248.67,32,55,27,32,0
16,7,1,1,4,2,1,24.97,20.38,10375.62,0.17,97,0.05,576.42,33,64,17,17,0
14,5,0,7,3,3,1,16.78,11.2,2105.41,0.06,41,0.09,116.97,16,25,10,14,0
88,37,6,51,19,9,9,66.11,50.27,167072.98,1.11,496,0.02,9281.83,207,289,70,94,0
29,6,7,6,4,3,1,49.27,18.53,16907.83,0.3,151,0.05,939.32,57,94,40,36,0
60,41,16,37,21,15,5,78.4,74.77,438244.07,1.95,821,0.01,24346.89,319,502,96,76,0
52,19,12,25,10,6,3,47.49,47.96,109246.59,0.76,350,0.02,6069.25,140,210,54,64,0
101,37,44,76,19,8,9,75.03,66.0,326814.89,1.65,685,0.02,18156.38,264,421,100,145,0
29,15,28,6,8,6,1,78.29,48.05,180758.79,1.25,565,0.02,10042.15,217,348,70,57,0
22,11,3,8,6,4,5,37.5,29.45,32535.15,0.37,187,0.03,1807.51,72,115,33,25,0
29,8,7,3,6,6,1,29.49,24.0,16987.59,0.24,133,0.04,943.76,48,85,20,36,0
15,7,1,0,4,2,4,22.03,12.0,3172.85,0.09,55,0.08,176.27,18,37,12,16,0
14,3,2,7,2,1,1,25.23,9.5,2277.36,0.08,51,0.11,126.52,19,32,13,16,0
63,20,5,0,15,3,4,45.89,35.45,57670.7,0.54,262,0.03,3203.93,79,183,39,68,0
9,3,2,1,2,1,1,24.7,7.22,1288.28,0.06,40,0.14,71.57,10,30,9,11,0
9,3,2,0,2,1,1,24.08,7.22,1256.07,0.06,39,0.14,69.78,10,29,9,11,0
17,7,1,1,4,2,1,25.0,13.6,4624.0,0.11,68,0.07,256.89,24,44,15,18,0
27,9,7,0,5,5,1,50.43,10.62,5682.29,0.18,102,0.09,315.68,46,56,26,34,0
62,17,2,0,9,9,1,183.65,7.02,9044.12,0.43,214,0.14,502.45,100,114,57,64,0
12,3,0,9,2,2,1,22.78,2.33,124.02,0.02,16,0.43,6.89,7,9,6,12,0
24,7,0,0,4,2,1,20.18,16.36,5403.6,0.11,73,0.06,300.2,30,43,11,24,0
13,5,4,0,3,3,1,25.58,13.2,4456.28,0.11,71,0.08,247.57,33,38,15,17,0
32,5,3,13,3,1,1,58.73,53.2,166215.79,1.04,538,0.02,9234.21,266,272,40,35,0
10,3,0,0,2,2,1,22.35,7.27,1181.93,0.05,37,0.14,65.66,16,21,11,10,0
17,5,4,3,3,3,1,29.6,24.29,17460.6,0.24,137,0.04,970.03,60,77,21,21,0
7,3,0,0,2,1,1,8.79,12.0,1265.83,0.04,27,0.08,70.32,12,15,5,7,0
9,5,0,0,3,1,1,12.09,14.14,2417.96,0.06,41,0.07,134.33,18,23,7,9,0
11,5,0,0,3,1,1,14.67,14.67,3156.61,0.07,49,0.07,175.37,22,27,9,11,0
7,3,0,0,2,1,1,8.79,12.0,1265.83,0.04,27,0.08,70.32,12,15,5,7,0
9,5,0,0,3,1,1,12.09,14.14,2417.96,0.06,41,0.07,134.33,18,23,7,9,0
11,5,0,0,3,1,1,14.67,14.67,3156.61,0.07,49,0.07,175.37,22,27,9,11,0
7,3,0,0,2,1,1,8.79,12.0,1265.83,0.04,27,0.08,70.32,12,15,5,7,0
9,5,0,0,3,1,1,12.09,14.14,2417.96,0.06,41,0.07,134.33,18,23,7,9,0
11,5,0,0,3,1,1,14.67,14.67,3156.61,0.07,49,0.07,175.37,22,27,9,11,0
48,11,25,13,6,4,5,71.01,24.77,43561.75,0.59,279,0.04,2420.1,107,172,54,73,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
7,3,0,2,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,11,14,8,7,0
15,7,2,14,4,1,3,17.03,14.68,3670.2,0.08,52,0.07,203.9,19,33,11,17,0
9,3,0,8,2,1,1,11.86,4.38,227.03,0.02,15,0.23,12.61,5,10,4,9,0
8,3,0,10,2,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,5,9,4,8,0
8,3,0,5,2,1,1,17.16,6.19,657.1,0.04,25,0.16,36.51,9,16,8,8,0
8,3,0,10,2,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,5,9,4,8,0
9,3,0,2,2,2,1,19.71,5.5,596.3,0.04,26,0.18,33.13,11,15,9,9,0
13,5,4,19,3,2,1,22.53,13.93,4371.1,0.1,66,0.07,242.84,30,36,14,17,0
24,17,0,0,9,8,1,30.54,11.65,4143.37,0.12,74,0.09,230.19,36,38,17,24,0
25,7,0,15,4,3,1,21.39,22.46,10795.37,0.16,97,0.04,599.74,37,60,14,25,0
176,43,6,100,23,17,15,140.31,37.2,194194.61,1.74,696,0.03,10788.59,280,416,143,182,0
32,7,9,31,4,3,1,45.51,16.36,12184.85,0.25,130,0.06,676.94,54,76,33,41,0
18,3,0,12,2,2,1,35.45,10.29,3750.81,0.12,70,0.1,208.38,27,43,21,18,0
14,5,3,4,3,2,3,15.83,13.82,3022.38,0.07,46,0.07,167.91,19,27,11,17,0
29,7,4,21,4,3,3,39.73,19.35,14882.34,0.26,133,0.05,826.8,50,83,31,33,0
104,35,5,70,18,7,13,58.36,41.38,99929.77,0.8,372,0.02,5551.65,150,222,58,109,0
