loc,name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
51,TermoProjekt,1,termoprojektprogram.PracownikWalid,2,1,0,3,3,0,3,0,1,0,0,0,0,1,0,0,21.5,7,3.5,0
590,TermoProjekt,1,termoprojektprogram.EdytujPracownikaDialog,7,6,0,6,51,11,3,6,1,0.635416667,1,2,0.985882353,0.333333333,0,0,81,8,1.8571,1
116,TermoProjekt,1,termoprojektprogram.typUzytEnu,6,2,0,7,9,7,7,0,4,0.857142857,0.285714286,6,0.733333333,0.4,1,1,17.16666667,3,1,0
2,TermoProjekt,1,termoprojektprogram.SesjaKadrowegoDAO,2,1,0,5,2,1,3,2,2,2,0,0,0,0.75,0,0,0,1,1,0
64,TermoProjekt,1,termoprojektprogram.Sesja,5,1,4,10,11,0,6,4,5,0,1,1,0,0.6,0,0,11.6,1,0.8,0
16,TermoProjekt,1,termoprojektprogram.LogujException,2,3,0,10,3,0,10,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
55,TermoProjekt,1,termoprojektprogram.MySQLConnector,4,1,0,7,10,0,7,0,2,0.611111111,1,0,0,0.333333333,0,0,11.25,1,0.5,1
172,TermoProjekt,1,termoprojektprogram.UzytkownikDAO_MySQL,3,1,0,7,25,3,1,6,3,2,0,0,0,0.555555556,0,0,56.33333333,2,1,1
4,TermoProjekt,1,termoprojektprogram.ProjektDAO,4,1,0,4,4,6,3,1,4,2,0,0,0,0.666666667,0,0,0,1,1,0
34,TermoProjekt,1,termoprojektprogram.FabrykaDAO,7,1,0,18,14,21,6,12,6,2,0,0,0,0.142857143,0,0,3.857142857,1,0.8571,0
5,TermoProjekt,1,termoprojektprogram.DBConnectionException,1,4,0,7,2,0,7,0,0,2,0,0,1,1,0,0,4,0,0,0
114,TermoProjekt,1,termoprojektprogram.PracownikTO,4,1,0,10,9,2,9,2,2,0.666666667,0,0,0,0.5,0,0,25.75,1,0.25,3
390,TermoProjekt,1,termoprojektprogram.LoginDialog,13,6,0,10,75,74,6,10,2,0.785714286,1,1,0.972157773,0.240384615,0,0,28.46153846,2,1,1
1,TermoProjekt,1,termoprojektprogram.SesjaKierownikaPrzedsiebiorstwaDAO,1,1,0,3,1,0,3,0,1,2,0,0,0,1,0,0,0,1,1,0
16,TermoProjekt,1,termoprojektprogram.DostepException,2,3,0,5,3,0,5,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
2353,TermoProjekt,1,termoprojektprogram.MainWindow,32,6,0,33,167,350,22,33,2,0.819979188,0.967741935,1,0.933045356,0.267857143,0,0,71.5625,2,1.1563,2
72,TermoProjekt,1,termoprojektprogram.SesjaKierownikaPrzedsiebiorstwaDAO_MySQL,2,1,0,4,20,1,1,3,2,2,0,0,0,1,0,0,35,2,1,0
16,TermoProjekt,1,termoprojektprogram.LoginException,2,3,0,0,3,0,0,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
16,TermoProjekt,1,termoprojektprogram.ProjektException,2,3,0,8,3,0,8,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
693,TermoProjekt,1,termoprojektprogram.EdytujInfoOProjekcieDialog,7,6,0,9,50,9,3,9,2,0.608333333,0.95,2,0.985882353,0.333333333,0,0,95.14285714,1,0.8571,2
2,TermoProjekt,1,termoprojektprogram.UzytkownikDAO,2,1,0,4,2,1,3,1,2,2,0,0,0,0.666666667,0,0,0,1,1,0
168,TermoProjekt,1,termoprojektprogram.PracownikDAO_MySQL,3,1,0,6,16,3,1,5,3,2,0,0,0,0.666666667,0,0,55,1,0.6667,0
151,TermoProjekt,1,termoprojektprogram.Uzytkownik,4,1,0,12,10,0,7,5,4,0,1,1,0,0.75,0,0,36.25,1,0.75,0
8,TermoProjekt,1,termoprojektprogram.SesjaKsiegowego,1,2,0,3,2,0,1,2,1,2,0,0,1,1,1,3,7,0,0,0
40,TermoProjekt,1,termoprojektprogram.ProjektWalid,1,1,0,2,2,0,2,0,1,2,0,0,0,1,0,0,30,0,0,0
540,TermoProjekt,1,termoprojektprogram.DodajPracownikaDialog,6,6,0,7,49,11,3,7,1,0.626666667,1,1,0.988207547,0.4,0,0,86.5,8,2,1
92,TermoProjekt,1,termoprojektprogram.stanLogEnu,6,2,0,7,9,7,7,0,4,0.8,0.4,4,0.733333333,0.4,1,1,13.5,3,1,0
215,TermoProjekt,1,termoprojektprogram.FasadaAplikacji,13,1,0,23,35,0,6,17,12,0,0,1,0,0.338461538,0,0,15.46153846,1,0.9231,1
